"caso","semilla_instancia","configuracion","semilla","generacion","mejor_makespan"
"Base","proporcionada","A",1,1,300
"Base","proporcionada","A",1,2,300
"Base","proporcionada","A",1,3,300
"Base","proporcionada","A",1,4,300
"Base","proporcionada","A",1,5,300
"Base","proporcionada","A",1,6,300
"Base","proporcionada","A",1,7,300
"Base","proporcionada","A",1,8,300
"Base","proporcionada","A",1,9,300
"Base","proporcionada","A",1,10,300
"Base","proporcionada","A",1,11,300
"Base","proporcionada","A",1,12,300
"Base","proporcionada","A",1,13,300
"Base","proporcionada","A",1,14,300
"Base","proporcionada","A",1,15,300
"Base","proporcionada","A",1,16,300
"Base","proporcionada","A",1,17,300
"Base","proporcionada","A",1,18,300
"Base","proporcionada","A",1,19,300
"Base","proporcionada","A",1,20,300
"Base","proporcionada","A",1,21,300
"Base","proporcionada","A",1,22,300
"Base","proporcionada","A",1,23,300
"Base","proporcionada","A",1,24,300
"Base","proporcionada","A",1,25,300
"Base","proporcionada","A",1,26,300
"Base","proporcionada","A",1,27,300
"Base","proporcionada","A",1,28,300
"Base","proporcionada","A",1,29,300
"Base","proporcionada","A",1,30,300
"Base","proporcionada","A",1,31,300
"Base","proporcionada","A",1,32,300
"Base","proporcionada","A",1,33,300
"Base","proporcionada","A",1,34,300
"Base","proporcionada","A",1,35,300
"Base","proporcionada","A",1,36,300
"Base","proporcionada","A",1,37,300
"Base","proporcionada","A",1,38,300
"Base","proporcionada","A",1,39,300
"Base","proporcionada","A",1,40,300
"Base","proporcionada","A",1,41,300
"Base","proporcionada","A",1,42,300
"Base","proporcionada","A",1,43,300
"Base","proporcionada","A",1,44,300
"Base","proporcionada","A",1,45,300
"Base","proporcionada","A",1,46,300
"Base","proporcionada","A",1,47,300
"Base","proporcionada","A",1,48,300
"Base","proporcionada","A",1,49,300
"Base","proporcionada","A",1,50,300
"Base","proporcionada","A",2,1,300
"Base","proporcionada","A",2,2,300
"Base","proporcionada","A",2,3,300
"Base","proporcionada","A",2,4,300
"Base","proporcionada","A",2,5,300
"Base","proporcionada","A",2,6,300
"Base","proporcionada","A",2,7,300
"Base","proporcionada","A",2,8,300
"Base","proporcionada","A",2,9,300
"Base","proporcionada","A",2,10,300
"Base","proporcionada","A",2,11,300
"Base","proporcionada","A",2,12,300
"Base","proporcionada","A",2,13,300
"Base","proporcionada","A",2,14,300
"Base","proporcionada","A",2,15,300
"Base","proporcionada","A",2,16,300
"Base","proporcionada","A",2,17,300
"Base","proporcionada","A",2,18,300
"Base","proporcionada","A",2,19,300
"Base","proporcionada","A",2,20,300
"Base","proporcionada","A",2,21,300
"Base","proporcionada","A",2,22,300
"Base","proporcionada","A",2,23,300
"Base","proporcionada","A",2,24,300
"Base","proporcionada","A",2,25,300
"Base","proporcionada","A",2,26,300
"Base","proporcionada","A",2,27,300
"Base","proporcionada","A",2,28,300
"Base","proporcionada","A",2,29,300
"Base","proporcionada","A",2,30,300
"Base","proporcionada","A",2,31,300
"Base","proporcionada","A",2,32,300
"Base","proporcionada","A",2,33,300
"Base","proporcionada","A",2,34,300
"Base","proporcionada","A",2,35,300
"Base","proporcionada","A",2,36,300
"Base","proporcionada","A",2,37,300
"Base","proporcionada","A",2,38,300
"Base","proporcionada","A",2,39,300
"Base","proporcionada","A",2,40,300
"Base","proporcionada","A",2,41,300
"Base","proporcionada","A",2,42,300
"Base","proporcionada","A",2,43,300
"Base","proporcionada","A",2,44,300
"Base","proporcionada","A",2,45,300
"Base","proporcionada","A",2,46,300
"Base","proporcionada","A",2,47,300
"Base","proporcionada","A",2,48,300
"Base","proporcionada","A",2,49,300
"Base","proporcionada","A",2,50,300
"Base","proporcionada","A",3,1,300
"Base","proporcionada","A",3,2,300
"Base","proporcionada","A",3,3,300
"Base","proporcionada","A",3,4,300
"Base","proporcionada","A",3,5,300
"Base","proporcionada","A",3,6,300
"Base","proporcionada","A",3,7,300
"Base","proporcionada","A",3,8,300
"Base","proporcionada","A",3,9,300
"Base","proporcionada","A",3,10,300
"Base","proporcionada","A",3,11,300
"Base","proporcionada","A",3,12,300
"Base","proporcionada","A",3,13,300
"Base","proporcionada","A",3,14,300
"Base","proporcionada","A",3,15,300
"Base","proporcionada","A",3,16,300
"Base","proporcionada","A",3,17,300
"Base","proporcionada","A",3,18,300
"Base","proporcionada","A",3,19,300
"Base","proporcionada","A",3,20,300
"Base","proporcionada","A",3,21,300
"Base","proporcionada","A",3,22,300
"Base","proporcionada","A",3,23,300
"Base","proporcionada","A",3,24,300
"Base","proporcionada","A",3,25,300
"Base","proporcionada","A",3,26,300
"Base","proporcionada","A",3,27,300
"Base","proporcionada","A",3,28,300
"Base","proporcionada","A",3,29,300
"Base","proporcionada","A",3,30,300
"Base","proporcionada","A",3,31,300
"Base","proporcionada","A",3,32,300
"Base","proporcionada","A",3,33,300
"Base","proporcionada","A",3,34,300
"Base","proporcionada","A",3,35,300
"Base","proporcionada","A",3,36,300
"Base","proporcionada","A",3,37,300
"Base","proporcionada","A",3,38,300
"Base","proporcionada","A",3,39,300
"Base","proporcionada","A",3,40,300
"Base","proporcionada","A",3,41,300
"Base","proporcionada","A",3,42,300
"Base","proporcionada","A",3,43,300
"Base","proporcionada","A",3,44,300
"Base","proporcionada","A",3,45,300
"Base","proporcionada","A",3,46,300
"Base","proporcionada","A",3,47,300
"Base","proporcionada","A",3,48,300
"Base","proporcionada","A",3,49,300
"Base","proporcionada","A",3,50,300
"Base","proporcionada","B",1,1,300
"Base","proporcionada","B",1,2,300
"Base","proporcionada","B",1,3,300
"Base","proporcionada","B",1,4,300
"Base","proporcionada","B",1,5,300
"Base","proporcionada","B",1,6,300
"Base","proporcionada","B",1,7,300
"Base","proporcionada","B",1,8,300
"Base","proporcionada","B",1,9,300
"Base","proporcionada","B",1,10,300
"Base","proporcionada","B",1,11,300
"Base","proporcionada","B",1,12,300
"Base","proporcionada","B",1,13,300
"Base","proporcionada","B",1,14,300
"Base","proporcionada","B",1,15,300
"Base","proporcionada","B",1,16,300
"Base","proporcionada","B",1,17,300
"Base","proporcionada","B",1,18,300
"Base","proporcionada","B",1,19,300
"Base","proporcionada","B",1,20,300
"Base","proporcionada","B",1,21,300
"Base","proporcionada","B",1,22,300
"Base","proporcionada","B",1,23,300
"Base","proporcionada","B",1,24,300
"Base","proporcionada","B",1,25,300
"Base","proporcionada","B",1,26,300
"Base","proporcionada","B",1,27,300
"Base","proporcionada","B",1,28,300
"Base","proporcionada","B",1,29,300
"Base","proporcionada","B",1,30,300
"Base","proporcionada","B",1,31,300
"Base","proporcionada","B",1,32,300
"Base","proporcionada","B",1,33,300
"Base","proporcionada","B",1,34,300
"Base","proporcionada","B",1,35,300
"Base","proporcionada","B",1,36,300
"Base","proporcionada","B",1,37,300
"Base","proporcionada","B",1,38,300
"Base","proporcionada","B",1,39,300
"Base","proporcionada","B",1,40,300
"Base","proporcionada","B",1,41,300
"Base","proporcionada","B",1,42,300
"Base","proporcionada","B",1,43,300
"Base","proporcionada","B",1,44,300
"Base","proporcionada","B",1,45,300
"Base","proporcionada","B",1,46,300
"Base","proporcionada","B",1,47,300
"Base","proporcionada","B",1,48,300
"Base","proporcionada","B",1,49,300
"Base","proporcionada","B",1,50,300
"Base","proporcionada","B",2,1,300
"Base","proporcionada","B",2,2,300
"Base","proporcionada","B",2,3,300
"Base","proporcionada","B",2,4,300
"Base","proporcionada","B",2,5,300
"Base","proporcionada","B",2,6,300
"Base","proporcionada","B",2,7,300
"Base","proporcionada","B",2,8,300
"Base","proporcionada","B",2,9,300
"Base","proporcionada","B",2,10,300
"Base","proporcionada","B",2,11,300
"Base","proporcionada","B",2,12,300
"Base","proporcionada","B",2,13,300
"Base","proporcionada","B",2,14,300
"Base","proporcionada","B",2,15,300
"Base","proporcionada","B",2,16,300
"Base","proporcionada","B",2,17,300
"Base","proporcionada","B",2,18,300
"Base","proporcionada","B",2,19,300
"Base","proporcionada","B",2,20,300
"Base","proporcionada","B",2,21,300
"Base","proporcionada","B",2,22,300
"Base","proporcionada","B",2,23,300
"Base","proporcionada","B",2,24,300
"Base","proporcionada","B",2,25,300
"Base","proporcionada","B",2,26,300
"Base","proporcionada","B",2,27,300
"Base","proporcionada","B",2,28,300
"Base","proporcionada","B",2,29,300
"Base","proporcionada","B",2,30,300
"Base","proporcionada","B",2,31,300
"Base","proporcionada","B",2,32,300
"Base","proporcionada","B",2,33,300
"Base","proporcionada","B",2,34,300
"Base","proporcionada","B",2,35,300
"Base","proporcionada","B",2,36,300
"Base","proporcionada","B",2,37,300
"Base","proporcionada","B",2,38,300
"Base","proporcionada","B",2,39,300
"Base","proporcionada","B",2,40,300
"Base","proporcionada","B",2,41,300
"Base","proporcionada","B",2,42,300
"Base","proporcionada","B",2,43,300
"Base","proporcionada","B",2,44,300
"Base","proporcionada","B",2,45,300
"Base","proporcionada","B",2,46,300
"Base","proporcionada","B",2,47,300
"Base","proporcionada","B",2,48,300
"Base","proporcionada","B",2,49,300
"Base","proporcionada","B",2,50,300
"Base","proporcionada","B",3,1,300
"Base","proporcionada","B",3,2,300
"Base","proporcionada","B",3,3,300
"Base","proporcionada","B",3,4,300
"Base","proporcionada","B",3,5,300
"Base","proporcionada","B",3,6,300
"Base","proporcionada","B",3,7,300
"Base","proporcionada","B",3,8,300
"Base","proporcionada","B",3,9,300
"Base","proporcionada","B",3,10,300
"Base","proporcionada","B",3,11,300
"Base","proporcionada","B",3,12,300
"Base","proporcionada","B",3,13,300
"Base","proporcionada","B",3,14,300
"Base","proporcionada","B",3,15,300
"Base","proporcionada","B",3,16,300
"Base","proporcionada","B",3,17,300
"Base","proporcionada","B",3,18,300
"Base","proporcionada","B",3,19,300
"Base","proporcionada","B",3,20,300
"Base","proporcionada","B",3,21,300
"Base","proporcionada","B",3,22,300
"Base","proporcionada","B",3,23,300
"Base","proporcionada","B",3,24,300
"Base","proporcionada","B",3,25,300
"Base","proporcionada","B",3,26,300
"Base","proporcionada","B",3,27,300
"Base","proporcionada","B",3,28,300
"Base","proporcionada","B",3,29,300
"Base","proporcionada","B",3,30,300
"Base","proporcionada","B",3,31,300
"Base","proporcionada","B",3,32,300
"Base","proporcionada","B",3,33,300
"Base","proporcionada","B",3,34,300
"Base","proporcionada","B",3,35,300
"Base","proporcionada","B",3,36,300
"Base","proporcionada","B",3,37,300
"Base","proporcionada","B",3,38,300
"Base","proporcionada","B",3,39,300
"Base","proporcionada","B",3,40,300
"Base","proporcionada","B",3,41,300
"Base","proporcionada","B",3,42,300
"Base","proporcionada","B",3,43,300
"Base","proporcionada","B",3,44,300
"Base","proporcionada","B",3,45,300
"Base","proporcionada","B",3,46,300
"Base","proporcionada","B",3,47,300
"Base","proporcionada","B",3,48,300
"Base","proporcionada","B",3,49,300
"Base","proporcionada","B",3,50,300
"Base","proporcionada","C",1,1,300
"Base","proporcionada","C",1,2,300
"Base","proporcionada","C",1,3,300
"Base","proporcionada","C",1,4,300
"Base","proporcionada","C",1,5,300
"Base","proporcionada","C",1,6,300
"Base","proporcionada","C",1,7,300
"Base","proporcionada","C",1,8,300
"Base","proporcionada","C",1,9,300
"Base","proporcionada","C",1,10,280
"Base","proporcionada","C",1,11,280
"Base","proporcionada","C",1,12,280
"Base","proporcionada","C",1,13,280
"Base","proporcionada","C",1,14,280
"Base","proporcionada","C",1,15,280
"Base","proporcionada","C",1,16,280
"Base","proporcionada","C",1,17,280
"Base","proporcionada","C",1,18,280
"Base","proporcionada","C",1,19,280
"Base","proporcionada","C",1,20,280
"Base","proporcionada","C",1,21,280
"Base","proporcionada","C",1,22,280
"Base","proporcionada","C",1,23,280
"Base","proporcionada","C",1,24,280
"Base","proporcionada","C",1,25,280
"Base","proporcionada","C",1,26,280
"Base","proporcionada","C",1,27,280
"Base","proporcionada","C",1,28,280
"Base","proporcionada","C",1,29,280
"Base","proporcionada","C",1,30,280
"Base","proporcionada","C",1,31,280
"Base","proporcionada","C",1,32,280
"Base","proporcionada","C",1,33,280
"Base","proporcionada","C",1,34,280
"Base","proporcionada","C",1,35,280
"Base","proporcionada","C",1,36,280
"Base","proporcionada","C",1,37,280
"Base","proporcionada","C",1,38,280
"Base","proporcionada","C",1,39,280
"Base","proporcionada","C",1,40,280
"Base","proporcionada","C",1,41,280
"Base","proporcionada","C",1,42,280
"Base","proporcionada","C",1,43,280
"Base","proporcionada","C",1,44,280
"Base","proporcionada","C",1,45,280
"Base","proporcionada","C",1,46,280
"Base","proporcionada","C",1,47,280
"Base","proporcionada","C",1,48,280
"Base","proporcionada","C",1,49,280
"Base","proporcionada","C",1,50,280
"Base","proporcionada","C",2,1,300
"Base","proporcionada","C",2,2,300
"Base","proporcionada","C",2,3,300
"Base","proporcionada","C",2,4,300
"Base","proporcionada","C",2,5,300
"Base","proporcionada","C",2,6,300
"Base","proporcionada","C",2,7,300
"Base","proporcionada","C",2,8,300
"Base","proporcionada","C",2,9,300
"Base","proporcionada","C",2,10,300
"Base","proporcionada","C",2,11,300
"Base","proporcionada","C",2,12,300
"Base","proporcionada","C",2,13,300
"Base","proporcionada","C",2,14,300
"Base","proporcionada","C",2,15,300
"Base","proporcionada","C",2,16,300
"Base","proporcionada","C",2,17,300
"Base","proporcionada","C",2,18,300
"Base","proporcionada","C",2,19,300
"Base","proporcionada","C",2,20,300
"Base","proporcionada","C",2,21,300
"Base","proporcionada","C",2,22,300
"Base","proporcionada","C",2,23,300
"Base","proporcionada","C",2,24,300
"Base","proporcionada","C",2,25,300
"Base","proporcionada","C",2,26,300
"Base","proporcionada","C",2,27,300
"Base","proporcionada","C",2,28,300
"Base","proporcionada","C",2,29,300
"Base","proporcionada","C",2,30,300
"Base","proporcionada","C",2,31,300
"Base","proporcionada","C",2,32,300
"Base","proporcionada","C",2,33,300
"Base","proporcionada","C",2,34,300
"Base","proporcionada","C",2,35,300
"Base","proporcionada","C",2,36,300
"Base","proporcionada","C",2,37,300
"Base","proporcionada","C",2,38,300
"Base","proporcionada","C",2,39,300
"Base","proporcionada","C",2,40,300
"Base","proporcionada","C",2,41,300
"Base","proporcionada","C",2,42,300
"Base","proporcionada","C",2,43,300
"Base","proporcionada","C",2,44,300
"Base","proporcionada","C",2,45,300
"Base","proporcionada","C",2,46,300
"Base","proporcionada","C",2,47,300
"Base","proporcionada","C",2,48,300
"Base","proporcionada","C",2,49,300
"Base","proporcionada","C",2,50,300
"Base","proporcionada","C",3,1,300
"Base","proporcionada","C",3,2,300
"Base","proporcionada","C",3,3,300
"Base","proporcionada","C",3,4,300
"Base","proporcionada","C",3,5,300
"Base","proporcionada","C",3,6,300
"Base","proporcionada","C",3,7,300
"Base","proporcionada","C",3,8,300
"Base","proporcionada","C",3,9,300
"Base","proporcionada","C",3,10,300
"Base","proporcionada","C",3,11,300
"Base","proporcionada","C",3,12,300
"Base","proporcionada","C",3,13,300
"Base","proporcionada","C",3,14,300
"Base","proporcionada","C",3,15,300
"Base","proporcionada","C",3,16,300
"Base","proporcionada","C",3,17,300
"Base","proporcionada","C",3,18,300
"Base","proporcionada","C",3,19,300
"Base","proporcionada","C",3,20,300
"Base","proporcionada","C",3,21,300
"Base","proporcionada","C",3,22,300
"Base","proporcionada","C",3,23,300
"Base","proporcionada","C",3,24,300
"Base","proporcionada","C",3,25,300
"Base","proporcionada","C",3,26,300
"Base","proporcionada","C",3,27,300
"Base","proporcionada","C",3,28,300
"Base","proporcionada","C",3,29,300
"Base","proporcionada","C",3,30,300
"Base","proporcionada","C",3,31,300
"Base","proporcionada","C",3,32,300
"Base","proporcionada","C",3,33,300
"Base","proporcionada","C",3,34,300
"Base","proporcionada","C",3,35,300
"Base","proporcionada","C",3,36,300
"Base","proporcionada","C",3,37,300
"Base","proporcionada","C",3,38,300
"Base","proporcionada","C",3,39,300
"Base","proporcionada","C",3,40,300
"Base","proporcionada","C",3,41,300
"Base","proporcionada","C",3,42,300
"Base","proporcionada","C",3,43,300
"Base","proporcionada","C",3,44,300
"Base","proporcionada","C",3,45,300
"Base","proporcionada","C",3,46,300
"Base","proporcionada","C",3,47,300
"Base","proporcionada","C",3,48,300
"Base","proporcionada","C",3,49,300
"Base","proporcionada","C",3,50,300
"Base","proporcionada","D",1,1,300
"Base","proporcionada","D",1,2,300
"Base","proporcionada","D",1,3,300
"Base","proporcionada","D",1,4,300
"Base","proporcionada","D",1,5,300
"Base","proporcionada","D",1,6,300
"Base","proporcionada","D",1,7,300
"Base","proporcionada","D",1,8,300
"Base","proporcionada","D",1,9,300
"Base","proporcionada","D",1,10,300
"Base","proporcionada","D",1,11,300
"Base","proporcionada","D",1,12,300
"Base","proporcionada","D",1,13,300
"Base","proporcionada","D",1,14,300
"Base","proporcionada","D",1,15,300
"Base","proporcionada","D",1,16,300
"Base","proporcionada","D",1,17,300
"Base","proporcionada","D",1,18,300
"Base","proporcionada","D",1,19,300
"Base","proporcionada","D",1,20,300
"Base","proporcionada","D",1,21,300
"Base","proporcionada","D",1,22,300
"Base","proporcionada","D",1,23,300
"Base","proporcionada","D",1,24,300
"Base","proporcionada","D",1,25,300
"Base","proporcionada","D",1,26,300
"Base","proporcionada","D",1,27,300
"Base","proporcionada","D",1,28,300
"Base","proporcionada","D",1,29,300
"Base","proporcionada","D",1,30,300
"Base","proporcionada","D",1,31,300
"Base","proporcionada","D",1,32,300
"Base","proporcionada","D",1,33,300
"Base","proporcionada","D",1,34,300
"Base","proporcionada","D",1,35,300
"Base","proporcionada","D",1,36,300
"Base","proporcionada","D",1,37,300
"Base","proporcionada","D",1,38,300
"Base","proporcionada","D",1,39,300
"Base","proporcionada","D",1,40,300
"Base","proporcionada","D",1,41,300
"Base","proporcionada","D",1,42,300
"Base","proporcionada","D",1,43,300
"Base","proporcionada","D",1,44,300
"Base","proporcionada","D",1,45,300
"Base","proporcionada","D",1,46,300
"Base","proporcionada","D",1,47,300
"Base","proporcionada","D",1,48,300
"Base","proporcionada","D",1,49,300
"Base","proporcionada","D",1,50,300
"Base","proporcionada","D",2,1,300
"Base","proporcionada","D",2,2,300
"Base","proporcionada","D",2,3,300
"Base","proporcionada","D",2,4,300
"Base","proporcionada","D",2,5,300
"Base","proporcionada","D",2,6,300
"Base","proporcionada","D",2,7,300
"Base","proporcionada","D",2,8,300
"Base","proporcionada","D",2,9,300
"Base","proporcionada","D",2,10,300
"Base","proporcionada","D",2,11,300
"Base","proporcionada","D",2,12,300
"Base","proporcionada","D",2,13,300
"Base","proporcionada","D",2,14,300
"Base","proporcionada","D",2,15,300
"Base","proporcionada","D",2,16,300
"Base","proporcionada","D",2,17,300
"Base","proporcionada","D",2,18,300
"Base","proporcionada","D",2,19,300
"Base","proporcionada","D",2,20,300
"Base","proporcionada","D",2,21,300
"Base","proporcionada","D",2,22,300
"Base","proporcionada","D",2,23,300
"Base","proporcionada","D",2,24,300
"Base","proporcionada","D",2,25,300
"Base","proporcionada","D",2,26,300
"Base","proporcionada","D",2,27,300
"Base","proporcionada","D",2,28,300
"Base","proporcionada","D",2,29,300
"Base","proporcionada","D",2,30,300
"Base","proporcionada","D",2,31,300
